trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
960,False,"{'a': 0.002, 'e': 0.1469004694641088}",20,10,17.60765572110362,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
961,False,"{'a': 0.002, 'e': 0.14660696213035015}",20,0,20.202741455129296,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
962,False,"{'a': 0.002, 'e': 0.14631404122463545}",20,10,15.268050758169082,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
963,False,"{'a': 0.002, 'e': 0.14602170557528074}",20,16,8.158766509465764,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
964,False,"{'a': 0.002, 'e': 0.14572995401294303}",20,3,14.136766757491495,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
965,False,"{'a': 0.002, 'e': 0.1454387853706157}",30,15,14.103019151812614,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
966,False,"{'a': 0.002, 'e': 0.14514819848362373}",20,6,25.119652684718307,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
967,False,"{'a': 0.002, 'e': 0.14485819218961926}",20,5,25.46145334967316,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
968,False,"{'a': 0.002, 'e': 0.14456876532857668}",25,10,8.88882098490765,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
969,False,"{'a': 0.002, 'e': 0.14427991674278817}",20,0,11.018926892835214,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
970,False,"{'a': 0.002, 'e': 0.143991645276859}",20,0,13.904315363366434,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
971,False,"{'a': 0.002, 'e': 0.14370394977770293}",25,3,-20.07156857483944,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
972,False,"{'a': 0.002, 'e': 0.14341682909453757}",20,6,18.99791993064858,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
973,False,"{'a': 0.002, 'e': 0.14313028207887982}",25,15,17.104715322103722,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
974,False,"{'a': 0.002, 'e': 0.14284430758454122}",30,21,-24.774891097379967,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
975,False,"{'a': 0.002, 'e': 0.14255890446762343}",30,20,19.28496518380168,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
976,False,"{'a': 0.002, 'e': 0.1422740715865136}",25,18,12.581078559292317,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
977,False,"{'a': 0.002, 'e': 0.14198980780187978}",25,17,10.44611889314002,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
978,False,"{'a': 0.002, 'e': 0.1417061119766665}",25,12,10.997011774466117,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
979,False,"{'a': 0.002, 'e': 0.14142298297609007}",30,14,-22.437869426962767,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
980,False,"{'a': 0.002, 'e': 0.1411404196676341}",25,11,14.827618648790665,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
981,False,"{'a': 0.002, 'e': 0.140858420921045}",25,0,-1.2712960497549584,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
982,False,"{'a': 0.002, 'e': 0.1405769856083274}",20,8,-54.10117550117137,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
983,False,"{'a': 0.002, 'e': 0.14029611260373964}",25,0,31.389582276565545,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
984,False,"{'a': 0.002, 'e': 0.1400158007837894}",20,7,8.323467780961632,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
985,False,"{'a': 0.002, 'e': 0.13973604902722894}",30,13,7.305315785528123,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
986,False,"{'a': 0.002, 'e': 0.13945685621505094}",25,17,15.945536428000334,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
